ts,zemlja,gorivo,cena_eur
2026-07-15 13:45 UTC,Serbia,petrol95,1.67
2026-07-15 13:45 UTC,Serbia,diesel,1.87
2026-07-15 13:45 UTC,Serbia,lpg,0.9
2026-07-15 13:45 UTC,Croatia,petrol95,1.54
2026-07-15 13:45 UTC,Croatia,diesel,1.54
2026-07-15 13:45 UTC,Croatia,lpg,0.7
2026-07-15 13:45 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-15 13:45 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-15 13:45 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-15 13:45 UTC,Montenegro,petrol95,1.64
2026-07-15 13:45 UTC,Montenegro,diesel,1.67
2026-07-15 13:45 UTC,Slovenia,petrol95,1.57
2026-07-15 13:45 UTC,Slovenia,diesel,1.64
2026-07-15 13:45 UTC,Slovenia,lpg,0.96
2026-07-15 13:45 UTC,North Macedonia,petrol95,1.36
2026-07-15 13:45 UTC,North Macedonia,diesel,1.34
2026-07-15 13:45 UTC,North Macedonia,lpg,0.76
2026-07-15 13:45 UTC,Hungary,petrol95,1.65
2026-07-15 13:45 UTC,Hungary,diesel,1.69
2026-07-15 13:45 UTC,Hungary,lpg,1.01
2026-07-15 13:45 UTC,Bulgaria,petrol95,1.462
2026-07-15 13:45 UTC,Bulgaria,diesel,1.478
2026-07-15 13:45 UTC,Albania,petrol95,1.82
2026-07-15 13:45 UTC,Albania,diesel,1.85
2026-07-15 13:45 UTC,Albania,lpg,0.69
2026-07-15 13:45 UTC,Greece,petrol95,1.95
2026-07-15 13:45 UTC,Greece,diesel,1.753
2026-07-15 13:45 UTC,Romania,petrol95,1.652
2026-07-15 13:45 UTC,Romania,diesel,1.813
2026-07-15 13:45 UTC,Kosovo,petrol95,1.47
2026-07-15 13:45 UTC,Kosovo,diesel,1.47
2026-07-16 08:58 UTC,Serbia,petrol95,1.67
2026-07-16 08:58 UTC,Serbia,diesel,1.87
2026-07-16 08:58 UTC,Serbia,lpg,0.9
2026-07-16 08:58 UTC,Croatia,petrol95,1.54
2026-07-16 08:58 UTC,Croatia,diesel,1.54
2026-07-16 08:58 UTC,Croatia,lpg,0.7
2026-07-16 08:58 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-16 08:58 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-16 08:58 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-16 08:58 UTC,Montenegro,petrol95,1.64
2026-07-16 08:58 UTC,Montenegro,diesel,1.67
2026-07-16 08:58 UTC,Slovenia,petrol95,1.57
2026-07-16 08:58 UTC,Slovenia,diesel,1.64
2026-07-16 08:58 UTC,Slovenia,lpg,0.96
2026-07-16 08:58 UTC,North Macedonia,petrol95,1.36
2026-07-16 08:58 UTC,North Macedonia,diesel,1.34
2026-07-16 08:58 UTC,North Macedonia,lpg,0.76
2026-07-16 08:58 UTC,Hungary,petrol95,1.65
2026-07-16 08:58 UTC,Hungary,diesel,1.69
2026-07-16 08:58 UTC,Hungary,lpg,1.01
2026-07-16 08:58 UTC,Bulgaria,petrol95,1.462
2026-07-16 08:58 UTC,Bulgaria,diesel,1.478
2026-07-16 08:58 UTC,Albania,petrol95,1.82
2026-07-16 08:58 UTC,Albania,diesel,1.85
2026-07-16 08:58 UTC,Albania,lpg,0.69
2026-07-16 08:58 UTC,Greece,petrol95,1.95
2026-07-16 08:58 UTC,Greece,diesel,1.753
2026-07-16 08:58 UTC,Romania,petrol95,1.652
2026-07-16 08:58 UTC,Romania,diesel,1.813
2026-07-16 08:58 UTC,Kosovo,petrol95,1.47
2026-07-16 08:58 UTC,Kosovo,diesel,1.47
2026-07-18 08:27 UTC,Serbia,petrol95,1.67
2026-07-18 08:27 UTC,Serbia,diesel,1.87
2026-07-18 08:27 UTC,Serbia,lpg,0.9
2026-07-18 08:27 UTC,Croatia,petrol95,1.54
2026-07-18 08:27 UTC,Croatia,diesel,1.54
2026-07-18 08:27 UTC,Croatia,lpg,0.7
2026-07-18 08:27 UTC,Bosnia and Herzegovina,petrol95,1.25
2026-07-18 08:27 UTC,Bosnia and Herzegovina,diesel,1.26
2026-07-18 08:27 UTC,Bosnia and Herzegovina,lpg,0.69
2026-07-18 08:27 UTC,Montenegro,petrol95,1.64
2026-07-18 08:27 UTC,Montenegro,diesel,1.67
2026-07-18 08:27 UTC,Slovenia,petrol95,1.59
2026-07-18 08:27 UTC,Slovenia,diesel,1.73
2026-07-18 08:27 UTC,Slovenia,lpg,0.94
2026-07-18 08:27 UTC,North Macedonia,petrol95,1.36
2026-07-18 08:27 UTC,North Macedonia,diesel,1.34
2026-07-18 08:27 UTC,North Macedonia,lpg,0.76
2026-07-18 08:27 UTC,Hungary,petrol95,1.65
2026-07-18 08:27 UTC,Hungary,diesel,1.69
2026-07-18 08:27 UTC,Hungary,lpg,1.01
2026-07-18 08:27 UTC,Bulgaria,petrol95,1.46
2026-07-18 08:27 UTC,Bulgaria,diesel,1.498
2026-07-18 08:27 UTC,Albania,petrol95,1.82
2026-07-18 08:27 UTC,Albania,diesel,1.85
2026-07-18 08:27 UTC,Albania,lpg,0.69
2026-07-18 08:27 UTC,Greece,petrol95,1.979
2026-07-18 08:27 UTC,Greece,diesel,1.854
2026-07-18 08:27 UTC,Romania,petrol95,1.652
2026-07-18 08:27 UTC,Romania,diesel,1.806
2026-07-18 08:27 UTC,Kosovo,petrol95,1.47
2026-07-18 08:27 UTC,Kosovo,diesel,1.47
